Year,X,Y,Region
1,-83.9149697397885,29.7700550995247,ES
1,-97.8902769455695,28.6657406049363,MI
1,-114.11898367634,36.6701693110353,WE
2,-83.7117236684541,30.9457032221848,ES
2,-98.234985694748,32.089172804479,MI
2,-112.972156678121,36.0292973818272,WE
3,-87.0596354997124,30.6072710028101,ES
3,-98.5197997431015,33.5900689877855,MI
3,-112.56803869402,36.0725830111125,WE
4,-86.9580099855498,30.2925273872293,ES
4,-98.6866316509014,33.5578182396198,MI
4,-112.65775076436,36.1132969490635,WE
5,-87.8303389032571,31.7435323502268,ES
5,-97.4973280701742,32.9586825838855,MI
5,-112.657896114425,36.1137514533223,WE
6,-87.8294421269249,31.7435008690892,ES
6,-98.6167331516098,33.3279551619045,MI
6,-111.917904785027,35.6432622082211,WE
7,-88.1044731577459,31.9446836504546,ES
7,-98.6597693954416,33.3438538290017,MI
7,-111.728040519001,35.6310892377001,WE
8,-88.0390764108885,31.7546419845233,ES
8,-99.0944376417039,33.8367666669361,MI
8,-111.437512096228,36.8005275442771,WE
9,-88.0390764108885,31.7546419845233,ES
9,-99.2331288862446,33.8904697283815,MI
9,-111.330497852748,36.8138736384378,WE
10,-88.0217934859911,31.7481259235104,ES
10,-99.2331288862446,33.8904697283815,MI
10,-111.37136047487,36.8280962849324,WE
11,-87.1127315419265,33.0978041148958,ES
11,-99.2331288862446,33.8904697283815,MI
11,-111.383017674318,36.8282828516302,WE
12,-86.0452391200523,33.9920952893042,ES
12,-99.2331288862446,33.8904697283815,MI
12,-111.766426668157,37.1940974375973,WE
